2025-04-08 19:05:40 - INFO - __main__ - [19:05:40] Starting training process...
2025-04-08 19:05:40 - INFO - __main__ - Environment variables set
2025-04-08 19:05:42 - INFO - __main__ - CUDA device: NVIDIA GeForce RTX 4050 Laptop GPU
2025-04-08 19:05:42 - INFO - __main__ - Total memory: 6.44 GB
2025-04-08 19:05:42 - INFO - __main__ - [19:05:42] Checking memory requirements...
2025-04-08 19:05:42 - INFO - __main__ - Starting dataset loading...
2025-04-08 19:05:42 - INFO - __main__ - [19:05:42] Loading wikipedia dataset...
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Limiting wikipedia dataset to 500,000 samples
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Successfully loaded wikipedia dataset with 500,000 samples
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Added Wikipedia dataset to collection
2025-04-08 19:05:45 - INFO - __main__ - [19:05:45] Loading bookcorpus dataset...
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Limiting bookcorpus dataset to 500,000 samples
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Successfully loaded bookcorpus dataset with 500,000 samples
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Added BookCorpus dataset to collection
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Starting dataset processing...
2025-04-08 19:05:48 - INFO - __main__ - [19:05:48] Processing dataset 1/2
2025-04-08 19:08:59 - INFO - __main__ - [19:08:59] Processed 1,820/1,000,000 examples (0.18%)
2025-04-08 19:09:04 - INFO - __main__ - [19:09:04] Processed 2,638/1,000,000 examples (0.26%)
2025-04-08 19:09:09 - INFO - __main__ - [19:09:09] Processed 3,568/1,000,000 examples (0.36%)
2025-04-08 19:09:14 - INFO - __main__ - [19:09:14] Processed 4,441/1,000,000 examples (0.44%)
2025-04-08 19:09:19 - INFO - __main__ - [19:09:19] Processed 5,365/1,000,000 examples (0.54%)
2025-04-08 19:09:24 - INFO - __main__ - [19:09:24] Processed 6,296/1,000,000 examples (0.63%)
2025-04-08 19:09:29 - INFO - __main__ - [19:09:29] Processed 7,021/1,000,000 examples (0.70%)
2025-04-08 19:09:34 - INFO - __main__ - [19:09:34] Processed 7,806/1,000,000 examples (0.78%)
2025-04-08 19:09:39 - INFO - __main__ - [19:09:39] Processed 8,720/1,000,000 examples (0.87%)
2025-04-08 19:09:44 - INFO - __main__ - [19:09:44] Processed 9,582/1,000,000 examples (0.96%)
2025-04-08 19:09:49 - INFO - __main__ - [19:09:49] Processed 10,424/1,000,000 examples (1.04%)
2025-04-08 19:09:54 - INFO - __main__ - [19:09:54] Processed 11,228/1,000,000 examples (1.12%)
2025-04-08 19:09:59 - INFO - __main__ - [19:09:59] Processed 12,089/1,000,000 examples (1.21%)
2025-04-08 19:10:04 - INFO - __main__ - [19:10:04] Processed 12,916/1,000,000 examples (1.29%)
2025-04-08 19:10:09 - INFO - __main__ - [19:10:09] Processed 13,738/1,000,000 examples (1.37%)
2025-04-08 19:10:14 - INFO - __main__ - [19:10:14] Processed 14,526/1,000,000 examples (1.45%)
2025-04-08 19:10:19 - INFO - __main__ - [19:10:19] Processed 15,303/1,000,000 examples (1.53%)
2025-04-08 19:10:24 - INFO - __main__ - [19:10:24] Processed 16,073/1,000,000 examples (1.61%)
2025-04-08 19:10:29 - INFO - __main__ - [19:10:29] Processed 16,863/1,000,000 examples (1.69%)
2025-04-08 19:10:34 - INFO - __main__ - [19:10:34] Processed 18,690/1,000,000 examples (1.87%)
2025-04-08 19:10:39 - INFO - __main__ - [19:10:39] Processed 19,713/1,000,000 examples (1.97%)
2025-04-08 19:10:44 - INFO - __main__ - [19:10:44] Processed 21,560/1,000,000 examples (2.16%)
2025-04-08 19:10:49 - INFO - __main__ - [19:10:49] Processed 22,736/1,000,000 examples (2.27%)
2025-04-08 19:10:54 - INFO - __main__ - [19:10:54] Processed 23,834/1,000,000 examples (2.38%)
2025-04-08 19:10:59 - INFO - __main__ - [19:10:59] Processed 24,991/1,000,000 examples (2.50%)
2025-04-08 19:11:04 - INFO - __main__ - [19:11:04] Processed 26,040/1,000,000 examples (2.60%)
2025-04-08 19:11:09 - INFO - __main__ - [19:11:09] Processed 27,123/1,000,000 examples (2.71%)
2025-04-08 19:11:14 - INFO - __main__ - [19:11:14] Processed 28,302/1,000,000 examples (2.83%)
2025-04-08 19:11:19 - INFO - __main__ - [19:11:19] Processed 29,416/1,000,000 examples (2.94%)
2025-04-08 19:11:24 - INFO - __main__ - [19:11:24] Processed 30,685/1,000,000 examples (3.07%)
2025-04-08 19:11:29 - INFO - __main__ - [19:11:29] Processed 32,016/1,000,000 examples (3.20%)
2025-04-08 19:11:34 - INFO - __main__ - [19:11:34] Processed 33,146/1,000,000 examples (3.31%)
2025-04-08 19:11:39 - INFO - __main__ - [19:11:39] Processed 34,551/1,000,000 examples (3.46%)
2025-04-08 19:11:44 - INFO - __main__ - [19:11:44] Processed 35,782/1,000,000 examples (3.58%)
2025-04-08 19:11:49 - INFO - __main__ - [19:11:49] Processed 37,131/1,000,000 examples (3.71%)
2025-04-08 19:11:54 - INFO - __main__ - [19:11:54] Processed 38,718/1,000,000 examples (3.87%)
2025-04-08 19:11:59 - INFO - __main__ - [19:11:59] Processed 40,488/1,000,000 examples (4.05%)
2025-04-08 19:12:04 - INFO - __main__ - [19:12:04] Processed 42,215/1,000,000 examples (4.22%)
2025-04-08 19:12:09 - INFO - __main__ - [19:12:09] Processed 44,167/1,000,000 examples (4.42%)
2025-04-08 19:12:14 - INFO - __main__ - [19:12:14] Processed 46,393/1,000,000 examples (4.64%)
2025-04-08 19:12:19 - INFO - __main__ - [19:12:19] Processed 48,087/1,000,000 examples (4.81%)
2025-04-08 19:12:24 - INFO - __main__ - [19:12:24] Processed 50,254/1,000,000 examples (5.03%)
2025-04-08 19:12:29 - INFO - __main__ - [19:12:29] Processed 52,423/1,000,000 examples (5.24%)
2025-04-08 19:12:34 - INFO - __main__ - [19:12:34] Processed 55,624/1,000,000 examples (5.56%)
2025-04-08 19:12:39 - INFO - __main__ - [19:12:39] Processed 58,816/1,000,000 examples (5.88%)
2025-04-08 19:12:44 - INFO - __main__ - [19:12:44] Processed 62,481/1,000,000 examples (6.25%)
2025-04-08 19:12:49 - INFO - __main__ - [19:12:49] Processed 67,264/1,000,000 examples (6.73%)
2025-04-08 19:12:54 - INFO - __main__ - [19:12:54] Processed 69,443/1,000,000 examples (6.94%)
2025-04-08 19:12:59 - INFO - __main__ - [19:12:59] Processed 72,678/1,000,000 examples (7.27%)
2025-04-08 19:13:04 - INFO - __main__ - [19:13:04] Processed 76,747/1,000,000 examples (7.67%)
2025-04-08 19:13:09 - INFO - __main__ - [19:13:09] Processed 80,201/1,000,000 examples (8.02%)
2025-04-08 19:13:14 - INFO - __main__ - [19:13:14] Processed 83,573/1,000,000 examples (8.36%)
2025-04-08 19:13:19 - INFO - __main__ - [19:13:19] Processed 85,107/1,000,000 examples (8.51%)
2025-04-08 19:13:24 - INFO - __main__ - [19:13:24] Processed 86,537/1,000,000 examples (8.65%)
2025-04-08 19:13:29 - INFO - __main__ - [19:13:29] Processed 88,384/1,000,000 examples (8.84%)
2025-04-08 19:13:34 - INFO - __main__ - [19:13:34] Processed 90,103/1,000,000 examples (9.01%)
2025-04-08 19:13:39 - INFO - __main__ - [19:13:39] Processed 91,545/1,000,000 examples (9.15%)
2025-04-08 19:13:44 - INFO - __main__ - [19:13:44] Processed 92,890/1,000,000 examples (9.29%)
2025-04-08 19:13:49 - INFO - __main__ - [19:13:49] Processed 94,251/1,000,000 examples (9.43%)
2025-04-08 19:13:54 - INFO - __main__ - [19:13:54] Processed 95,600/1,000,000 examples (9.56%)
2025-04-08 19:13:59 - INFO - __main__ - [19:13:59] Processed 96,992/1,000,000 examples (9.70%)
2025-04-08 19:14:04 - INFO - __main__ - [19:14:04] Processed 98,779/1,000,000 examples (9.88%)
2025-04-08 19:14:09 - INFO - __main__ - [19:14:09] Processed 100,416/1,000,000 examples (10.04%)
2025-04-08 19:14:14 - INFO - __main__ - [19:14:14] Processed 101,930/1,000,000 examples (10.19%)
2025-04-08 19:14:19 - INFO - __main__ - [19:14:19] Processed 103,519/1,000,000 examples (10.35%)
2025-04-08 19:14:24 - INFO - __main__ - [19:14:24] Processed 105,128/1,000,000 examples (10.51%)
2025-04-08 19:14:29 - INFO - __main__ - [19:14:29] Processed 106,794/1,000,000 examples (10.68%)
2025-04-08 19:14:34 - INFO - __main__ - [19:14:34] Processed 108,466/1,000,000 examples (10.85%)
2025-04-08 19:14:39 - INFO - __main__ - [19:14:39] Processed 110,195/1,000,000 examples (11.02%)
2025-04-08 19:14:44 - INFO - __main__ - [19:14:44] Processed 111,929/1,000,000 examples (11.19%)
2025-04-08 19:14:49 - INFO - __main__ - [19:14:49] Processed 113,680/1,000,000 examples (11.37%)
2025-04-08 19:14:54 - INFO - __main__ - [19:14:54] Processed 115,502/1,000,000 examples (11.55%)
2025-04-08 19:14:59 - INFO - __main__ - [19:14:59] Processed 117,397/1,000,000 examples (11.74%)
2025-04-08 19:15:04 - INFO - __main__ - [19:15:04] Processed 119,180/1,000,000 examples (11.92%)
2025-04-08 19:15:09 - INFO - __main__ - [19:15:09] Processed 120,898/1,000,000 examples (12.09%)
2025-04-08 19:15:14 - INFO - __main__ - [19:15:14] Processed 122,565/1,000,000 examples (12.26%)
2025-04-08 19:15:20 - INFO - __main__ - [19:15:20] Processed 124,302/1,000,000 examples (12.43%)
2025-04-08 19:15:25 - INFO - __main__ - [19:15:25] Processed 126,103/1,000,000 examples (12.61%)
2025-04-08 19:15:30 - INFO - __main__ - [19:15:30] Processed 128,485/1,000,000 examples (12.85%)
2025-04-08 19:15:35 - INFO - __main__ - [19:15:35] Processed 130,150/1,000,000 examples (13.01%)
2025-04-08 19:15:40 - INFO - __main__ - [19:15:40] Processed 131,950/1,000,000 examples (13.20%)
2025-04-08 19:15:45 - INFO - __main__ - [19:15:45] Processed 133,551/1,000,000 examples (13.36%)
2025-04-08 19:15:50 - INFO - __main__ - [19:15:50] Processed 135,409/1,000,000 examples (13.54%)
2025-04-08 19:15:55 - INFO - __main__ - [19:15:55] Processed 137,006/1,000,000 examples (13.70%)
2025-04-08 19:16:00 - INFO - __main__ - [19:16:00] Processed 138,801/1,000,000 examples (13.88%)
2025-04-08 19:16:05 - INFO - __main__ - [19:16:05] Processed 140,458/1,000,000 examples (14.05%)
2025-04-08 19:16:10 - INFO - __main__ - [19:16:10] Processed 142,197/1,000,000 examples (14.22%)
2025-04-08 19:16:15 - INFO - __main__ - [19:16:15] Processed 143,968/1,000,000 examples (14.40%)
2025-04-08 19:16:20 - INFO - __main__ - [19:16:20] Processed 145,834/1,000,000 examples (14.58%)
2025-04-08 19:16:25 - INFO - __main__ - [19:16:25] Processed 147,789/1,000,000 examples (14.78%)
2025-04-08 19:16:30 - INFO - __main__ - [19:16:30] Processed 149,964/1,000,000 examples (15.00%)
2025-04-08 19:16:35 - INFO - __main__ - [19:16:35] Processed 151,953/1,000,000 examples (15.20%)
2025-04-08 19:16:40 - INFO - __main__ - [19:16:40] Processed 153,955/1,000,000 examples (15.40%)
2025-04-08 19:16:45 - INFO - __main__ - [19:16:45] Processed 155,895/1,000,000 examples (15.59%)
2025-04-08 19:16:50 - INFO - __main__ - [19:16:50] Processed 157,755/1,000,000 examples (15.78%)
2025-04-08 19:16:55 - INFO - __main__ - [19:16:55] Processed 159,522/1,000,000 examples (15.95%)
2025-04-08 19:17:00 - INFO - __main__ - [19:17:00] Processed 161,473/1,000,000 examples (16.15%)
2025-04-08 19:17:05 - INFO - __main__ - [19:17:05] Processed 163,456/1,000,000 examples (16.35%)
2025-04-08 19:17:10 - INFO - __main__ - [19:17:10] Processed 165,440/1,000,000 examples (16.54%)
2025-04-08 19:17:15 - INFO - __main__ - [19:17:15] Processed 167,467/1,000,000 examples (16.75%)
2025-04-08 19:17:20 - INFO - __main__ - [19:17:20] Processed 169,596/1,000,000 examples (16.96%)
2025-04-08 19:17:25 - INFO - __main__ - [19:17:25] Processed 171,587/1,000,000 examples (17.16%)
2025-04-08 19:17:30 - INFO - __main__ - [19:17:30] Processed 173,652/1,000,000 examples (17.37%)
2025-04-08 19:17:35 - INFO - __main__ - [19:17:35] Processed 175,658/1,000,000 examples (17.57%)
2025-04-08 19:17:40 - INFO - __main__ - [19:17:40] Processed 177,729/1,000,000 examples (17.77%)
2025-04-08 19:17:45 - INFO - __main__ - [19:17:45] Processed 179,887/1,000,000 examples (17.99%)
2025-04-08 19:17:50 - INFO - __main__ - [19:17:50] Processed 182,043/1,000,000 examples (18.20%)
2025-04-08 19:17:55 - INFO - __main__ - [19:17:55] Processed 184,254/1,000,000 examples (18.43%)
2025-04-08 19:18:00 - INFO - __main__ - [19:18:00] Processed 186,511/1,000,000 examples (18.65%)
2025-04-08 19:18:05 - INFO - __main__ - [19:18:05] Processed 188,809/1,000,000 examples (18.88%)
2025-04-08 19:18:10 - INFO - __main__ - [19:18:10] Processed 191,222/1,000,000 examples (19.12%)
2025-04-08 19:18:15 - INFO - __main__ - [19:18:15] Processed 193,634/1,000,000 examples (19.36%)
2025-04-08 19:18:20 - INFO - __main__ - [19:18:20] Processed 196,115/1,000,000 examples (19.61%)
2025-04-08 19:18:25 - INFO - __main__ - [19:18:25] Processed 198,457/1,000,000 examples (19.85%)
2025-04-08 19:18:30 - INFO - __main__ - [19:18:30] Processed 200,764/1,000,000 examples (20.08%)
2025-04-08 19:18:35 - INFO - __main__ - [19:18:35] Processed 203,167/1,000,000 examples (20.32%)
2025-04-08 19:18:40 - INFO - __main__ - [19:18:40] Processed 205,788/1,000,000 examples (20.58%)
2025-04-08 19:18:45 - INFO - __main__ - [19:18:45] Processed 207,673/1,000,000 examples (20.77%)
2025-04-08 19:18:50 - INFO - __main__ - [19:18:50] Processed 208,988/1,000,000 examples (20.90%)
2025-04-08 19:18:55 - INFO - __main__ - [19:18:55] Processed 211,471/1,000,000 examples (21.15%)
2025-04-08 19:19:00 - INFO - __main__ - [19:19:00] Processed 214,058/1,000,000 examples (21.41%)
2025-04-08 19:19:05 - INFO - __main__ - [19:19:05] Processed 216,595/1,000,000 examples (21.66%)
2025-04-08 19:19:10 - INFO - __main__ - [19:19:10] Processed 219,060/1,000,000 examples (21.91%)
2025-04-08 19:19:15 - INFO - __main__ - [19:19:15] Processed 221,038/1,000,000 examples (22.10%)
2025-04-08 19:19:20 - INFO - __main__ - [19:19:20] Processed 223,576/1,000,000 examples (22.36%)
2025-04-08 19:19:25 - INFO - __main__ - [19:19:25] Processed 225,853/1,000,000 examples (22.59%)
2025-04-08 19:19:30 - INFO - __main__ - [19:19:30] Processed 228,549/1,000,000 examples (22.85%)
2025-04-08 19:19:35 - INFO - __main__ - [19:19:35] Processed 231,156/1,000,000 examples (23.12%)
2025-04-08 19:19:40 - INFO - __main__ - [19:19:40] Processed 233,539/1,000,000 examples (23.35%)
2025-04-08 19:19:45 - INFO - __main__ - [19:19:45] Processed 235,931/1,000,000 examples (23.59%)
2025-04-08 19:19:50 - INFO - __main__ - [19:19:50] Processed 238,618/1,000,000 examples (23.86%)
2025-04-08 19:19:55 - INFO - __main__ - [19:19:55] Processed 241,240/1,000,000 examples (24.12%)
2025-04-08 19:20:00 - INFO - __main__ - [19:20:00] Processed 243,705/1,000,000 examples (24.37%)
2025-04-08 19:20:05 - INFO - __main__ - [19:20:05] Processed 246,057/1,000,000 examples (24.61%)
2025-04-08 19:20:10 - INFO - __main__ - [19:20:10] Processed 248,785/1,000,000 examples (24.88%)
2025-04-08 19:20:15 - INFO - __main__ - [19:20:15] Processed 251,328/1,000,000 examples (25.13%)
2025-04-08 19:20:20 - INFO - __main__ - [19:20:20] Processed 253,864/1,000,000 examples (25.39%)
2025-04-08 19:20:25 - INFO - __main__ - [19:20:25] Processed 256,371/1,000,000 examples (25.64%)
2025-04-08 19:20:30 - INFO - __main__ - [19:20:30] Processed 259,157/1,000,000 examples (25.92%)
2025-04-08 19:20:35 - INFO - __main__ - [19:20:35] Processed 261,177/1,000,000 examples (26.12%)
2025-04-08 19:20:40 - INFO - __main__ - [19:20:40] Processed 262,767/1,000,000 examples (26.28%)
2025-04-08 19:20:45 - INFO - __main__ - [19:20:45] Processed 265,337/1,000,000 examples (26.53%)
2025-04-08 19:20:50 - INFO - __main__ - [19:20:50] Processed 267,931/1,000,000 examples (26.79%)
2025-04-08 19:20:55 - INFO - __main__ - [19:20:55] Processed 270,800/1,000,000 examples (27.08%)
2025-04-08 19:21:00 - INFO - __main__ - [19:21:00] Processed 273,332/1,000,000 examples (27.33%)
2025-04-08 19:21:05 - INFO - __main__ - [19:21:05] Processed 276,289/1,000,000 examples (27.63%)
2025-04-08 19:21:10 - INFO - __main__ - [19:21:10] Processed 278,883/1,000,000 examples (27.89%)
2025-04-08 19:21:15 - INFO - __main__ - [19:21:15] Processed 281,407/1,000,000 examples (28.14%)
2025-04-08 19:21:20 - INFO - __main__ - [19:21:20] Processed 284,078/1,000,000 examples (28.41%)
2025-04-08 19:21:25 - INFO - __main__ - [19:21:25] Processed 286,806/1,000,000 examples (28.68%)
2025-04-08 19:21:30 - INFO - __main__ - [19:21:30] Processed 289,845/1,000,000 examples (28.98%)
2025-04-08 19:21:35 - INFO - __main__ - [19:21:35] Processed 292,665/1,000,000 examples (29.27%)
2025-04-08 19:21:40 - INFO - __main__ - [19:21:40] Processed 295,513/1,000,000 examples (29.55%)
2025-04-08 19:21:45 - INFO - __main__ - [19:21:45] Processed 298,309/1,000,000 examples (29.83%)
2025-04-08 19:21:50 - INFO - __main__ - [19:21:50] Processed 300,854/1,000,000 examples (30.09%)
2025-04-08 19:21:55 - INFO - __main__ - [19:21:55] Processed 303,596/1,000,000 examples (30.36%)
2025-04-08 19:22:00 - INFO - __main__ - [19:22:00] Processed 306,723/1,000,000 examples (30.67%)
2025-04-08 19:22:05 - INFO - __main__ - [19:22:05] Processed 309,672/1,000,000 examples (30.97%)
2025-04-08 19:22:10 - INFO - __main__ - [19:22:10] Processed 312,658/1,000,000 examples (31.27%)
2025-04-08 19:22:15 - INFO - __main__ - [19:22:15] Processed 315,547/1,000,000 examples (31.55%)
2025-04-08 19:22:20 - INFO - __main__ - [19:22:20] Processed 318,447/1,000,000 examples (31.84%)
2025-04-08 19:22:25 - INFO - __main__ - [19:22:25] Processed 321,208/1,000,000 examples (32.12%)
2025-04-08 19:22:30 - INFO - __main__ - [19:22:30] Processed 324,100/1,000,000 examples (32.41%)
2025-04-08 19:22:35 - INFO - __main__ - [19:22:35] Processed 326,810/1,000,000 examples (32.68%)
2025-04-08 19:22:40 - INFO - __main__ - [19:22:40] Processed 329,917/1,000,000 examples (32.99%)
2025-04-08 19:22:45 - INFO - __main__ - [19:22:45] Processed 332,843/1,000,000 examples (33.28%)
2025-04-08 19:22:50 - INFO - __main__ - [19:22:50] Processed 335,891/1,000,000 examples (33.59%)
2025-04-08 19:22:55 - INFO - __main__ - [19:22:55] Processed 338,672/1,000,000 examples (33.87%)
2025-04-08 19:23:00 - INFO - __main__ - [19:23:00] Processed 341,713/1,000,000 examples (34.17%)
2025-04-08 19:23:05 - INFO - __main__ - [19:23:05] Processed 344,917/1,000,000 examples (34.49%)
2025-04-08 19:23:10 - INFO - __main__ - [19:23:10] Processed 348,006/1,000,000 examples (34.80%)
2025-04-08 19:23:15 - INFO - __main__ - [19:23:15] Processed 351,087/1,000,000 examples (35.11%)
2025-04-08 19:23:20 - INFO - __main__ - [19:23:20] Processed 354,455/1,000,000 examples (35.45%)
2025-04-08 19:23:25 - INFO - __main__ - [19:23:25] Processed 357,393/1,000,000 examples (35.74%)
2025-04-08 19:23:30 - INFO - __main__ - [19:23:30] Processed 360,259/1,000,000 examples (36.03%)
2025-04-08 19:23:35 - INFO - __main__ - [19:23:35] Processed 363,293/1,000,000 examples (36.33%)
2025-04-08 19:23:40 - INFO - __main__ - [19:23:40] Processed 366,372/1,000,000 examples (36.64%)
2025-04-08 19:23:45 - INFO - __main__ - [19:23:45] Processed 369,445/1,000,000 examples (36.94%)
2025-04-08 19:23:50 - INFO - __main__ - [19:23:50] Processed 372,536/1,000,000 examples (37.25%)
2025-04-08 19:23:55 - INFO - __main__ - [19:23:55] Processed 375,674/1,000,000 examples (37.57%)
2025-04-08 19:24:00 - INFO - __main__ - [19:24:00] Processed 378,825/1,000,000 examples (37.88%)
2025-04-08 19:24:05 - INFO - __main__ - [19:24:05] Processed 381,986/1,000,000 examples (38.20%)
2025-04-08 19:24:10 - INFO - __main__ - [19:24:10] Processed 384,953/1,000,000 examples (38.50%)
2025-04-08 19:24:15 - INFO - __main__ - [19:24:15] Processed 388,085/1,000,000 examples (38.81%)
2025-04-08 19:24:20 - INFO - __main__ - [19:24:20] Processed 391,226/1,000,000 examples (39.12%)
2025-04-08 19:24:25 - INFO - __main__ - [19:24:25] Processed 394,272/1,000,000 examples (39.43%)
2025-04-08 19:24:30 - INFO - __main__ - [19:24:30] Processed 397,718/1,000,000 examples (39.77%)
2025-04-08 19:24:35 - INFO - __main__ - [19:24:35] Processed 400,940/1,000,000 examples (40.09%)
2025-04-08 19:24:40 - INFO - __main__ - [19:24:40] Processed 403,899/1,000,000 examples (40.39%)
2025-04-08 19:24:45 - INFO - __main__ - [19:24:45] Processed 406,937/1,000,000 examples (40.69%)
2025-04-08 19:24:50 - INFO - __main__ - [19:24:50] Processed 410,229/1,000,000 examples (41.02%)
2025-04-08 19:24:55 - INFO - __main__ - [19:24:55] Processed 413,382/1,000,000 examples (41.34%)
2025-04-08 19:25:00 - INFO - __main__ - [19:25:00] Processed 416,495/1,000,000 examples (41.65%)
2025-04-08 19:25:05 - INFO - __main__ - [19:25:05] Processed 419,718/1,000,000 examples (41.97%)
2025-04-08 19:25:10 - INFO - __main__ - [19:25:10] Processed 422,880/1,000,000 examples (42.29%)
2025-04-08 19:25:15 - INFO - __main__ - [19:25:15] Processed 425,952/1,000,000 examples (42.60%)
2025-04-08 19:25:20 - INFO - __main__ - [19:25:20] Processed 428,922/1,000,000 examples (42.89%)
2025-04-08 19:25:25 - INFO - __main__ - [19:25:25] Processed 432,117/1,000,000 examples (43.21%)
2025-04-08 19:25:30 - INFO - __main__ - [19:25:30] Processed 435,470/1,000,000 examples (43.55%)
2025-04-08 19:25:35 - INFO - __main__ - [19:25:35] Processed 438,749/1,000,000 examples (43.87%)
2025-04-08 19:25:40 - INFO - __main__ - [19:25:40] Processed 441,879/1,000,000 examples (44.19%)
2025-04-08 19:25:45 - INFO - __main__ - [19:25:45] Processed 444,940/1,000,000 examples (44.49%)
2025-04-08 19:25:50 - INFO - __main__ - [19:25:50] Processed 448,033/1,000,000 examples (44.80%)
2025-04-08 19:25:55 - INFO - __main__ - [19:25:55] Processed 450,937/1,000,000 examples (45.09%)
2025-04-08 19:26:00 - INFO - __main__ - [19:26:00] Processed 453,849/1,000,000 examples (45.38%)
2025-04-08 19:26:05 - INFO - __main__ - [19:26:05] Processed 457,049/1,000,000 examples (45.70%)
2025-04-08 19:26:10 - INFO - __main__ - [19:26:10] Processed 460,310/1,000,000 examples (46.03%)
2025-04-08 19:26:15 - INFO - __main__ - [19:26:15] Processed 463,246/1,000,000 examples (46.32%)
2025-04-08 19:26:20 - INFO - __main__ - [19:26:20] Processed 466,534/1,000,000 examples (46.65%)
2025-04-08 19:26:25 - INFO - __main__ - [19:26:25] Processed 469,810/1,000,000 examples (46.98%)
2025-04-08 19:26:30 - INFO - __main__ - [19:26:30] Processed 473,011/1,000,000 examples (47.30%)
2025-04-08 19:26:35 - INFO - __main__ - [19:26:35] Processed 476,206/1,000,000 examples (47.62%)
2025-04-08 19:26:40 - INFO - __main__ - [19:26:40] Processed 479,330/1,000,000 examples (47.93%)
2025-04-08 19:26:45 - INFO - __main__ - [19:26:45] Processed 482,562/1,000,000 examples (48.26%)
2025-04-08 19:26:50 - INFO - __main__ - [19:26:50] Processed 485,941/1,000,000 examples (48.59%)
2025-04-08 19:26:55 - INFO - __main__ - [19:26:55] Processed 489,544/1,000,000 examples (48.95%)
2025-04-08 19:27:00 - INFO - __main__ - [19:27:00] Processed 492,993/1,000,000 examples (49.30%)
2025-04-08 19:27:05 - INFO - __main__ - [19:27:05] Processed 496,271/1,000,000 examples (49.63%)
2025-04-08 19:27:10 - INFO - __main__ - [19:27:10] Processed 499,699/1,000,000 examples (49.97%)
2025-04-08 19:27:15 - INFO - __main__ - [19:27:15] Processed 540,731/1,000,000 examples (54.07%)
2025-04-08 19:27:20 - INFO - __main__ - [19:27:20] Processed 585,600/1,000,000 examples (58.56%)
